Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2021-03-11,119.306213,120.529014,118.621448,119.873595,103026500
2021-03-12,118.396461,118.533415,116.567156,117.780173,88105100
2021-03-15,121.292068,121.301853,117.799749,118.768213,92403800
2021-03-16,122.837677,124.451776,122.006174,122.964846,115227900
2021-03-17,122.045311,123.121374,119.677963,121.350761,111932600
2021-03-18,117.907349,120.499688,117.701919,120.206213,121229700
2021-03-19,117.379089,118.787758,117.075837,117.291051,185549500
2021-03-22,120.705116,121.174675,117.643226,117.711702,111912300
2021-03-23,119.873619,121.536625,119.482321,120.646430,95467100
2021-03-24,117.476898,120.225759,117.457337,120.147498,88530500
2021-03-25,117.966042,119.012766,116.410642,116.938893,98844700
2021-03-26,118.572533,118.836662,116.332361,117.731245,94071200
2021-03-29,118.748619,119.912728,118.102984,119.002964,80819200
2021-03-30,117.291054,117.780174,116.273683,117.496483,85671900
2021-03-31,119.492104,120.832289,118.513863,119.002983,118323800
2021-04-01,120.323601,121.477925,119.824696,120.969243,75089100
2021-04-05,123.160507,123.414852,120.392084,121.174680,88651200
2021-04-06,123.463745,124.363725,122.915933,123.747436,80171300
2021-04-07,125.116997,125.136558,122.417050,123.092039,83466700
2021-04-08,127.523445,127.552791,125.723486,126.144122,88844600
2021-04-09,130.106003,130.145126,126.652815,126.975636,106686700
2021-04-12,128.384338,129.959307,127.787611,129.636486,91420000
2021-04-13,131.504898,131.729904,129.059296,129.558209,91266500
2021-04-14,129.157120,132.062496,128.795175,132.003804,87222800
2021-04-15,131.573364,132.062485,130.732077,130.908168,89347100
2021-04-16,131.240768,131.739666,130.379912,131.377722,84922400
2021-04-19,131.905945,132.522241,130.438584,130.604883,94264200
2021-04-20,130.213623,132.580964,128.941907,132.082066,94812300
2021-04-21,130.595123,130.839683,128.442997,129.479930,68847100
2021-04-22,129.069092,131.230996,128.550625,130.145148,84566500
2021-04-23,131.397293,132.179874,129.284290,129.284290,78657500
2021-04-26,131.788605,132.121203,130.653842,131.896212,66905100
2021-04-27,131.465744,132.463554,131.191838,132.072248,66015800
2021-04-28,130.673386,132.082055,130.184265,131.387497,107760100
2021-04-29,130.575577,134.087473,129.567990,133.500522,151101000
2021-04-30,128.599518,130.653814,128.218005,128.912547,109839500
2021-05-03,129.655960,131.152681,128.961418,129.166840,75135100
2021-05-04,125.068069,128.628872,123.943091,128.335397,137564700
2021-05-05,125.312637,127.611494,125.185461,126.388693,84000900
2021-05-06,126.916939,126.926716,124.363723,125.107188,78128300
2021-05-07,127.593063,128.621949,126.877724,128.220200,78973300
2021-05-10,124.300591,126.936522,124.261394,126.809145,88071200
2021-05-11,123.379486,123.732244,120.302586,121.017918,126142800
2021-05-12,120.302589,122.135009,119.793044,120.919933,112172300
2021-05-13,122.458389,123.614674,121.762660,122.076228,105861300
2021-05-14,124.888519,125.319679,123.320677,123.712640,81918000
2021-05-17,123.732246,124.378985,122.654355,124.271196,74244600
2021-05-18,122.340813,124.437803,122.272220,124.016445,63342900
2021-05-19,122.184006,122.409379,120.390783,120.684757,92612000
2021-05-20,124.751343,125.153106,122.585760,122.713152,76857100
2021-05-21,122.909142,125.427490,122.693562,125.251107,79295400
2021-05-24,124.545578,125.368700,123.408895,123.477488,63092900
2021-05-25,124.349586,125.741053,123.781241,125.251095,72009500
2021-05-26,124.300591,124.829739,123.879232,124.408380,56575900
2021-05-27,122.762161,125.074731,122.566184,123.898852,94625600
2021-05-28,122.105614,123.271700,122.046822,123.046319,71311100
2021-06-01,121.782234,122.830729,121.449071,122.566159,67637100
2021-06-02,122.546585,122.722968,121.556889,121.782262,59278900
2021-06-03,121.057121,122.340791,120.655358,122.174209,76229200
2021-06-04,123.359901,123.624479,121.360900,121.576480,75169300
2021-06-07,123.369698,123.781255,122.321202,123.634268,71057600
2021-06-08,124.192825,125.878266,123.673478,124.055640,74403800
2021-06-09,124.574974,125.182516,123.977233,124.653368,56877900
2021-06-10,123.575470,125.613668,123.408888,124.467177,71186400
2021-06-11,124.790550,124.878745,123.565672,123.987031,53522400
2021-06-14,127.857620,127.916412,124.516158,125.251085,96906500
2021-06-15,127.034538,127.975251,126.789563,127.328512,62746300
2021-06-16,127.534286,128.259420,125.878264,127.749866,91815000
2021-06-17,129.141312,129.886047,127.044321,127.191316,96721700
2021-06-18,127.838036,128.866921,127.622456,128.083011,108953300
2021-06-21,129.641052,129.748842,126.613158,127.681248,79663300
2021-06-22,131.287277,131.385273,128.974708,129.474467,74783600
2021-06-23,131.012924,131.620474,130.552369,131.081525,60214200
2021-06-24,130.728729,131.934005,130.258366,131.747821,68711000
2021-06-25,130.434814,131.199137,130.140841,130.777786,70783700
2021-06-28,132.071198,132.531753,130.669945,130.728736,62111300
2021-06-29,133.590073,133.746861,131.649870,132.090823,64556100
2021-06-30,134.207413,134.648366,133.139308,133.433282,63261400
2021-07-01,134.511169,134.569961,133.031508,133.854637,52485800
2021-07-02,137.147110,137.186299,134.981520,135.128499,78852600
2021-07-06,139.165726,140.273005,137.254919,137.254919,108181800
2021-07-07,141.664474,141.978035,139.792858,140.655161,104911600
2021-07-08,140.361221,141.164733,137.842865,138.734580,105575500
2021-07-09,142.193604,142.722744,139.783038,139.881034,99890800
2021-07-12,141.595886,143.379316,141.105935,143.271526,76299700
2021-07-13,142.712952,144.496381,140.743354,141.135309,100827100
2021-07-14,146.152405,146.563977,144.711947,145.123519,127050800
2021-07-15,145.495911,146.985367,144.133847,146.240646,106820300
2021-07-16,143.447876,146.750141,142.948131,145.476281,93251400
2021-07-19,139.587097,141.174549,138.822774,140.860973,121434600
2021-07-20,143.212692,144.143611,140.086817,140.576768,96350000
2021-07-21,142.477814,143.193153,141.723300,142.605206,74993500
2021-07-22,143.849670,145.221528,142.879562,143.006954,77338200
